Index	Date	Time	Readings (%RH)	Readings (�C)	Type
369	9/23/2016	6:09:57 PM	44.5	26.9	
370	9/23/2016	7:09:57 PM	45.1	26.4	
371	9/23/2016	8:09:57 PM	45.7	26.0	
372	9/23/2016	9:09:57 PM	47.1	25.3	
373	9/23/2016	10:09:57 PM	50.0	24.3	
374	9/23/2016	11:09:57 PM	51.7	23.9	
375	9/24/2016	12:09:57 AM	55.2	22.7	
376	9/24/2016	1:09:57 AM	56.7	22.3	
377	9/24/2016	2:09:57 AM	60.8	21.5	
378	9/24/2016	3:09:57 AM	61.7	21.3	
379	9/24/2016	4:09:57 AM	61.4	21.4	
380	9/24/2016	5:09:57 AM	62.0	21.3	
381	9/24/2016	6:09:57 AM	61.2	21.3	
382	9/24/2016	7:09:57 AM	60.7	21.3	
383	9/24/2016	8:09:57 AM	60.1	21.5	
384	9/24/2016	9:09:57 AM	60.7	21.9	
385	9/24/2016	10:09:57 AM	59.8	22.4	
386	9/24/2016	11:09:57 AM	57.2	23.7	
387	9/24/2016	12:09:57 PM	54.0	25.6	
388	9/24/2016	1:09:57 PM	52.4	26.3	
389	9/24/2016	2:09:57 PM	49.9	27.2	
390	9/24/2016	3:09:57 PM	47.2	28.6	
391	9/24/2016	4:09:57 PM	43.8	29.6	
392	9/24/2016	5:09:57 PM	44.9	28.8	
393	9/24/2016	6:09:57 PM	46.7	27.9	
394	9/24/2016	7:09:57 PM	49.2	27.2	
395	9/24/2016	8:09:57 PM	49.5	26.2	
396	9/24/2016	9:09:57 PM	50.7	24.9	
397	9/24/2016	10:09:57 PM	52.3	24.0	
398	9/24/2016	11:09:57 PM	53.9	23.6	
399	9/25/2016	12:09:57 AM	55.6	22.8	
400	9/25/2016	1:09:57 AM	56.9	22.3	
401	9/25/2016	2:09:57 AM	61.9	21.1	
402	9/25/2016	3:09:57 AM	59.4	22.0	
403	9/25/2016	4:09:57 AM	59.7	22.3	
404	9/25/2016	5:09:57 AM	66.4	22.1	
405	9/25/2016	6:09:57 AM	68.6	22.4	
406	9/25/2016	7:09:57 AM	69.0	22.5	
407	9/25/2016	8:09:57 AM	68.7	22.5	
408	9/25/2016	9:09:57 AM	68.3	23.1	
409	9/25/2016	10:09:57 AM	67.9	23.3	
410	9/25/2016	11:09:57 AM	65.1	24.2	
411	9/25/2016	12:09:57 PM	63.2	24.6	
412	9/25/2016	1:09:57 PM	61.0	25.4	
413	9/25/2016	2:09:57 PM	58.8	26.0	
414	9/25/2016	3:09:57 PM	54.8	27.2	
415	9/25/2016	4:09:57 PM	53.5	27.3	
416	9/25/2016	5:09:57 PM	55.1	26.8	
417	9/25/2016	6:09:57 PM	60.0	25.6	
418	9/25/2016	7:09:57 PM	61.9	24.3	
419	9/25/2016	8:09:57 PM	61.7	23.7	
420	9/25/2016	9:09:57 PM	62.6	23.2	
421	9/25/2016	10:09:57 PM	63.2	22.7	
422	9/25/2016	11:09:57 PM	61.6	22.1	
423	9/26/2016	12:09:57 AM	60.9	21.8	
424	9/26/2016	1:09:57 AM	60.4	21.5	
425	9/26/2016	2:09:57 AM	62.3	21.1	
426	9/26/2016	3:09:57 AM	63.2	20.8	
427	9/26/2016	4:09:57 AM	64.6	20.5	
428	9/26/2016	5:09:57 AM	67.6	20.2	
429	9/26/2016	6:09:57 AM	67.2	20.3	
430	9/26/2016	7:09:57 AM	69.3	20.2	
431	9/26/2016	8:09:57 AM	70.1	20.5	
432	9/26/2016	9:09:57 AM	72.1	20.7	
433	9/26/2016	10:09:57 AM	71.0	21.3	
434	9/26/2016	11:09:57 AM	66.8	21.9	
435	9/26/2016	12:09:57 PM	63.8	23.3	
436	9/26/2016	1:09:57 PM	57.2	24.2	
437	9/26/2016	2:09:57 PM	52.4	25.8	
438	9/26/2016	3:09:57 PM	51.5	26.6	
439	9/26/2016	4:09:57 PM	45.7	28.2	
440	9/26/2016	5:09:57 PM	45.6	27.5	
441	9/26/2016	6:09:57 PM	48.4	26.2	
442	9/26/2016	7:09:57 PM	51.1	25.6	
443	9/26/2016	8:09:57 PM	52.2	25.0	
444	9/26/2016	9:09:57 PM	54.4	24.2	
445	9/26/2016	10:09:57 PM	56.6	23.3	
446	9/26/2016	11:09:57 PM	57.7	22.2	
447	9/27/2016	12:09:57 AM	58.9	21.6	
448	9/27/2016	1:09:57 AM	61.4	21.3	
449	9/27/2016	2:09:57 AM	61.8	20.7	
450	9/27/2016	3:09:57 AM	62.9	19.9	
451	9/27/2016	4:09:57 AM	63.2	19.9	
452	9/27/2016	5:09:57 AM	65.9	19.0	
453	9/27/2016	6:09:57 AM	66.0	19.1	
454	9/27/2016	7:09:57 AM	67.4	19.6	
