Index,Date,Time,RH,Temp,Number
221,9/16/2016,2:12:00 PM,20.1,33,1010060497
222,9/16/2016,3:12:00 PM,19.1,33.7,1010060497
223,9/16/2016,4:12:00 PM,17.4,33.8,1010060497
224,9/16/2016,5:12:00 PM,18.3,33.1,1010060497
225,9/16/2016,6:12:00 PM,20.4,31.9,1010060497
226,9/16/2016,7:12:00 PM,21.4,31,1010060497
227,9/16/2016,8:12:00 PM,21.7,30.3,1010060497
228,9/16/2016,9:12:00 PM,21.9,29.9,1010060497
229,9/16/2016,10:12:00 PM,21.7,29.7,1010060497
230,9/16/2016,11:12:00 PM,23.1,29.3,1010060497
231,9/17/2016,12:12:00 AM,23.3,28.9,1010060497
232,9/17/2016,1:12:00 AM,23.6,28.5,1010060497
233,9/17/2016,2:12:00 AM,23.9,28.2,1010060497
234,9/17/2016,3:12:00 AM,24.9,27.8,1010060497
235,9/17/2016,4:12:00 AM,26.1,27.4,1010060497
236,9/17/2016,5:12:00 AM,27.1,27.1,1010060497
237,9/17/2016,6:12:00 AM,28.1,26.8,1010060497
238,9/17/2016,7:12:00 AM,28.1,26.5,1010060497
239,9/17/2016,8:12:00 AM,31.7,26.6,1010060497
240,9/17/2016,9:12:00 AM,37.4,26.7,1010060497
241,9/17/2016,10:12:00 AM,37.5,27.1,1010060497
242,9/17/2016,11:12:00 AM,35.1,27.7,1010060497
243,9/17/2016,12:12:00 PM,35,28.2,1010060497
244,9/17/2016,1:12:00 PM,35.5,28.7,1010060497
245,9/17/2016,2:12:00 PM,36.5,29.1,1010060497
246,9/17/2016,3:12:00 PM,37.4,29.3,1010060497
247,9/17/2016,4:12:00 PM,39.5,29,1010060497
248,9/17/2016,5:12:00 PM,39,28.8,1010060497
249,9/17/2016,6:12:00 PM,39,28.6,1010060497
250,9/17/2016,7:12:00 PM,39,28.2,1010060497
251,9/17/2016,8:12:00 PM,37.4,28,1010060497
252,9/17/2016,9:12:00 PM,37.3,27.7,1010060497
253,9/17/2016,10:12:00 PM,36.1,27.3,1010060497
254,9/17/2016,11:12:00 PM,36.3,27,1010060497
255,9/18/2016,12:12:00 AM,37.1,26.7,1010060497
256,9/18/2016,1:12:00 AM,39.1,26.4,1010060497
