,Temperature
Sheet,1010060340
Datetime,
2016-11-08 04:39:39,27.1
2016-11-08 05:39:39,26.7
2016-11-08 06:39:39,26.1
2016-11-08 07:39:39,26.6
2016-11-08 08:39:39,28.2
2016-11-08 09:39:39,29.3
2016-11-08 10:39:39,30.3
2016-11-08 11:39:39,31.3
2016-11-08 12:39:39,27.3
2016-11-09 01:39:39,30.2
2016-11-09 02:39:39,29.9
2016-11-09 03:39:39,29.4
2016-11-09 04:39:39,29.3
2016-11-09 05:39:39,29.2
2016-11-09 06:39:39,29.1
2016-11-09 07:39:39,29.1
2016-11-09 08:39:39,29.3
2016-11-09 09:39:39,28.6
2016-11-09 10:39:39,29.4
2016-11-09 11:39:39,30.6
2016-11-09 12:39:39,30.4
2016-11-10 01:39:39,29.7
2016-11-10 02:39:39,29.1
2016-11-10 03:39:39,28.7
2016-11-10 04:39:39,28.8
2016-11-10 05:39:39,28.6
2016-11-10 06:39:39,29.3
2016-11-10 07:39:39,30.7
2016-11-10 08:39:39,31.0
2016-11-10 09:39:39,31.6
2016-11-10 10:39:39,32.3
2016-11-10 11:39:39,32.9
2016-11-10 12:39:39,30.6
2016-11-11 01:39:39,27.9
2016-11-11 02:39:39,27.7
2016-11-11 03:39:39,27.4
2016-11-11 04:39:39,27.1
2016-11-11 05:39:39,26.2
2016-11-11 06:39:39,26.6
2016-11-11 07:39:39,25.7
2016-11-11 08:39:39,25.3
2016-11-11 09:39:39,24.8
2016-11-11 10:39:39,26.8
2016-11-11 11:39:39,28.5
2016-11-11 12:39:39,28.4
2016-11-12 01:39:39,26.3
2016-11-12 02:39:39,26.0
2016-11-12 03:39:39,25.7
2016-11-12 04:39:39,25.3
2016-11-12 05:39:39,24.1
2016-11-12 06:39:39,24.7
2016-11-12 07:39:39,25.1
2016-11-12 08:39:39,25.7
2016-11-12 09:39:39,26.1
2016-11-12 10:39:39,27.1
2016-11-12 11:39:39,28.2
2016-11-12 12:39:39,26.3
2016-11-13 01:39:39,27.5
2016-11-13 02:39:39,27.1
